Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
06/14/2011,ProShares Short FTSE China 50,YXI,41.61,42.13,-1.23427,-0.52,250,10402541.61
06/13/2011,ProShares Short FTSE China 50,YXI,42.13,42.46,-0.77720,-0.33,250,10532542.13
06/10/2011,ProShares Short FTSE China 50,YXI,42.46,41.41,2.53562,1.05,250,10615042.46
06/09/2011,ProShares Short FTSE China 50,YXI,41.41,41.49,-0.19282,-0.08,250,10352541.41
06/08/2011,ProShares Short FTSE China 50,YXI,41.49,41.28,0.50872,0.21,250,10372541.49
06/07/2011,ProShares Short FTSE China 50,YXI,41.28,41.55,-0.64982,-0.27,250,10320041.28
06/06/2011,ProShares Short FTSE China 50,YXI,41.55,41.17,0.92300,0.38,250,10387541.55
06/03/2011,ProShares Short FTSE China 50,YXI,41.17,40.36,2.00694,0.81,250,10292541.17
06/02/2011,ProShares Short FTSE China 50,YXI,40.36,40.45,-0.22250,-0.09,250,10090040.36
06/01/2011,ProShares Short FTSE China 50,YXI,40.45,39.68,1.94052,0.77,250,10112540.45
05/31/2011,ProShares Short FTSE China 50,YXI,39.68,40.79,-2.72126,-1.11,250,9920039.68
05/27/2011,ProShares Short FTSE China 50,YXI,40.79,41.22,-1.04318,-0.43,250,10197540.79
05/26/2011,ProShares Short FTSE China 50,YXI,41.22,41.47,-0.60285,-0.25,250,10305041.22
05/25/2011,ProShares Short FTSE China 50,YXI,41.47,41.67,-0.47996,-0.2,250,10367541.47
05/24/2011,ProShares Short FTSE China 50,YXI,41.67,42.01,-0.80933,-0.34,250,10417541.67
05/23/2011,ProShares Short FTSE China 50,YXI,42.01,41.03,2.38850,0.98,250,10502542.01
05/20/2011,ProShares Short FTSE China 50,YXI,41.03,40.92,0.26882,0.11,250,10257541.03
05/19/2011,ProShares Short FTSE China 50,YXI,40.92,40.89,0.07337,0.03,250,10230040.92
05/18/2011,ProShares Short FTSE China 50,YXI,40.89,41.89,-2.38720,-1,250,10222540.89
05/17/2011,ProShares Short FTSE China 50,YXI,41.89,41.94,-0.11922,-0.05,250,10472541.89
05/16/2011,ProShares Short FTSE China 50,YXI,41.94,41.85,0.21505,0.09,250,10485041.94
05/13/2011,ProShares Short FTSE China 50,YXI,41.85,41.37,1.16026,0.48,250,10462541.85
05/12/2011,ProShares Short FTSE China 50,YXI,41.37,41.45,-0.19300,-0.08,250,10342541.37
05/11/2011,ProShares Short FTSE China 50,YXI,41.45,40.85,1.46879,0.6,250,10362541.45
05/10/2011,ProShares Short FTSE China 50,YXI,40.85,41.26,-0.99370,-0.41,250,10212540.85
05/09/2011,ProShares Short FTSE China 50,YXI,41.26,41.35,-0.21765,-0.09,250,10315041.26
05/06/2011,ProShares Short FTSE China 50,YXI,41.35,41.73,-0.91062,-0.38,250,10337541.35
05/05/2011,ProShares Short FTSE China 50,YXI,41.73,41.43,0.72411,0.3,250,10432541.73
